"id";"country_id";"name";"path";"createdAt";"updatedAt"
1;1;"Afghanistan";"afghanistan";"2023-02-01 13:57:47";"2023-02-01 13:57:47"
2;102;"Hong Kong (China)";"hong-kong-china";"2023-02-01 13:57:47";"2023-02-01 13:57:47"
3;10;"Antigua and Barbuda";"antigua-and-barbuda";"2023-02-01 13:57:47";"2023-02-01 13:57:47"
4;100;"Haiti";"haiti";"2023-02-01 13:57:47";"2023-02-01 13:57:47"
5;101;"Honduras";"honduras";"2023-02-01 13:57:47";"2023-02-01 13:57:47"
6;102;"China (Hong Kong)";"china-hong-kong";"2023-02-01 13:57:47";"2023-02-01 13:57:47"
7;103;"Hungary";"hungary";"2023-02-01 13:57:47";"2023-02-01 13:57:47"
8;104;"Iceland";"iceland";"2023-02-01 13:57:47";"2023-02-01 13:57:47"
9;105;"India";"india";"2023-02-01 13:57:47";"2023-02-01 13:57:47"
10;106;"Bali (Indonesia)";"bali-indonesia";"2023-02-01 13:57:47";"2023-02-01 13:57:47"
11;106;"Indonesia";"indonesia";"2023-02-01 13:57:47";"2023-02-01 13:57:47"
12;106;"Java (Indonesia)";"java-indonesia";"2023-02-01 13:57:47";"2023-02-01 13:57:47"
13;106;"Komodo (Indonesia)";"komodo-indonesia";"2023-02-01 13:57:47";"2023-02-01 13:57:47"
14;106;"Lombok (Indonesia)";"lombok-indonesia";"2023-02-01 13:57:47";"2023-02-01 13:57:47"
15;106;"Sumatra (Indonesia)";"sumatra-indonesia";"2023-02-01 13:57:47";"2023-02-01 13:57:47"
16;107;"Iran";"iran";"2023-02-01 13:57:47";"2023-02-01 13:57:47"
17;108;"Iraq";"iraq";"2023-02-01 13:57:47";"2023-02-01 13:57:47"
18;109;"Ireland";"ireland";"2023-02-01 13:57:47";"2023-02-01 13:57:47"
19;11;"Argentina";"argentina";"2023-02-01 13:57:47";"2023-02-01 13:57:47"
20;110;"Israel";"israel";"2023-02-01 13:57:47";"2023-02-01 13:57:47"
21;111;"Italy";"italy";"2023-02-01 13:57:47";"2023-02-01 13:57:47"
22;111;"Sardinia (Italy)";"sardinia-italy";"2023-02-01 13:57:47";"2023-02-01 13:57:47"
23;111;"Sicily (Italy)";"sicily-italy";"2023-02-01 13:57:47";"2023-02-01 13:57:47"
